IntTime,SPEC#,Average Diode Reading
0.1,4,228314.1429
0.2,5,233588
0.3,6,231219.6429
0.4,7,228728.3571
0.5,8,227322.7857
0.6,9,227546.8571
0.7,10,226415.2857
0.8,11,226142.9286
0.9,12,227358.9286
1.0,13,226674.7857
2.0,14,225624.3571
3.0,15,226198.3571
4.0,16,226205.9286
5.0,17,225764.2857
